Rank,Author,Title,Citations,Year,Source,cit/year
71,"Gaidon, Q Wang, Y Cabon, E Vig",Virtual worlds as proxy for multi-object tracking analysis,624,0,https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Gaidon_Virtual_Worlds_as_CVPR_2016_paper.html,0
8,"Kristan, A Leonardis, J Matas…",The visual object tracking vot2017 challenge results,616,2017,https://openaccess.thecvf.com/content_ICCV_2017_workshops/w28/html/Kristan_The_Visual_Object_ICCV_2017_paper.html,123
69,"Hong, Z Chen, C Wang, X Mei…",Multi-store tracker (muster): A cognitive psychology inspired approach to object tracking,593,2015,http://openaccess.thecvf.com/content_cvpr_2015/html/Hong_MUlti-Store_Tracker_MUSTer_2015_CVPR_paper.html,85
82," Allen, RYD Xu, JS Jin",Object tracking using camshift algorithm and multiple quantized feature spaces,509,2004,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.90.4741&rep=rep1&type=pdf,28
46,"Xiang, A Alahi, S Savarese",Learning to track: Online multi-object tracking by decision making,502,0,https://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xiang_Learning_to_Track_ICCV_2015_paper.html,0
7,"Wang, H Lu, MH Yang",Online object tracking with sparse prototypes,500,2012,https://ieeexplore.ieee.org/abstract/document/6212358/,50
76,"Yang, R Duraiswami, L Davis",Fast multiple object tracking via a hierarchical particle filter,495,2005,https://ieeexplore.ieee.org/abstract/document/1541259/?casa_token=ki_arKS-ckYAAAAA:HizO0jd5IkxhmUz_BgcP7rISq2qVRHWeq9KMMZCX2ZegMPfSPhmLu-o84bploRYffpc3BFpq62M,29
104,"Patten, H Ishii, J Hines, G Pangaro",Sensetable: a wireless object tracking platform for tangible user interfaces,484,2001,https://dl.acm.org/doi/abs/10.1145/365024.365112,23
26,"Tao, HS Sawhney, R Kumar",Object tracking with bayesian estimation of dynamic layer representations,453,2002,https://ieeexplore.ieee.org/abstract/document/982885/?casa_token=pcBymAf135YAAAAA:6yzZLt9yqjn2--JbmgLdhNAJk0GyihVHZarzupXgHGQPNbS_S6PXwh6b30PGNlQ-6nJt3Qe0skg,23
86,"Rui, Y Chen",Better proposal distributions: Object tracking using unscented particle filter,439,2001,https://ieeexplore.ieee.org/abstract/document/991045/?casa_token=QBJmFAVHMYoAAAAA:1W_MPP6oeKJxd0n7aH1kXyEtR0wfyfSerxFWM6gVlV1HosUAVRmrasp2fEisAHya-6lzicDg_rE,21
114,"Zhu, Q Wang, B Li, W Wu, J Yan…",Distractor-aware siamese networks for visual object tracking,437,2018,http://openaccess.thecvf.com/content_ECCV_2018/html/Zheng_Zhu_Distractor-aware_Siamese_Networks_ECCV_2018_paper.html,109
42,"Carey, F Xu",Infants' knowledge of objects: Beyond object files and object tracking,436,2001,https://www.sciencedirect.com/science/article/pii/S0010027700001542?casa_token=EmWQkQFH3aYAAAAA:KXXZegnP4dOT0_nT6E6dTUqeTvft14tS8rTkvQgAzXpGn15iIdTnQImrqGIhuuVL-hh6tUGN5t0,21
252," Zamir, A Dehghan, M Shah",Gmcp-tracker: Global multi-object tracking using generalized minimum clique graphs,397,2012,https://link.springer.com/chapter/10.1007/978-3-642-33709-3_25,40
59," Scholl, ZW Pylyshyn, J Feldman",What is a visual object? Evidence from target merging in multiple object tracking,396,2001,https://www.sciencedirect.com/science/article/pii/S0010027700001578?casa_token=KkZatRHtRTkAAAAA:O0WSxu-pj18m74obERVroSQp2ajb12MMOg8BjRBa2iJS7Gx9Gn8m3bpZWKxKGtuIiY3_qZm3uHQ,19
121," Bae, KJ Yoon",Robust online multi-object tracking based on tracklet confidence and online discriminative appearance learning,393,2014,http://openaccess.thecvf.com/content_cvpr_2014/html/Bae_Robust_Online_Multi-Object_2014_CVPR_paper.html,49
53,"Xu, J Winter, WC Lee",Prediction-based strategies for energy saving in object tracking sensor networks,392,2004,https://ieeexplore.ieee.org/abstract/document/1263084/?casa_token=FMXaQFivvh4AAAAA:jRj9Tm-hTCjR4hO-a-lz-B384UPGBwyTBx0i8crPNIsj-8o9Et7ti6lSkfRRhsW1pNOc4vS9sB8,22
37,"Jiang, S Fels, JJ Little",A linear programming approach for multiple object tracking,389,2007,https://ieeexplore.ieee.org/abstract/document/4270205/?casa_token=EkaI_PX5e2wAAAAA:YuqbdWVYLnIwrTGrHhI1RsIUKYKuqR7eK4Qa8Ce1_44nywPNFlJaNNHj8Du7gC7SXzvv3MTIW1Q,26
97,"Leibe, K Schindler, L Van Gool",Coupled detection and trajectory estimation for multi-object tracking,377,2007,https://ieeexplore.ieee.org/abstract/document/4408936/?casa_token=4rs3k65MATwAAAAA:1-3wMCipRxCfv7I-hSAD9CELDtae8iemvItSBthql-grBSV9j_yzY1d_eWuBJKIR8JjV_NMH5ME,25
126,"Wang, Y Liu, Z Huang",Large margin object tracking with circulant feature maps,370,2017,http://openaccess.thecvf.com/content_cvpr_2017/html/Wang_Large_Margin_Object_CVPR_2017_paper.html,74
27,"Luo, J Xing, A Milan, X Zhang, W Liu, TK Kim",Multiple object tracking: A literature review,368,2020,https://www.sciencedirect.com/science/article/pii/S0004370220301958?casa_token=07J_eTL33ucAAAAA:OSMjMrHEKUwGRXwP3yKeUUlbCkrIbKNCAIUF8G3qSWdFopgMb41lul4769GoIEOy-oDuX1VZwdI,184
62,"Guo, W Feng, C Zhou, R Huang…",Learning dynamic siamese network for visual object tracking,366,2017,http://openaccess.thecvf.com/content_iccv_2017/html/Guo_Learning_Dynamic_Siamese_ICCV_2017_paper.html,73
9,"Wang, L Zhang, L Bertinetto…",Fast online object tracking and segmentation: A unifying approach,362,2019,http://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Fast_Online_Object_Tracking_and_Segmentation_A_Unifying_Approach_CVPR_2019_paper.html,121
80,"Zhong, H Lu, MH Yang",Robust object tracking via sparse collaborative appearance model,361,2014,https://ieeexplore.ieee.org/abstract/document/6777566/?casa_token=DsZW32EYPVUAAAAA:qGQt7Q8C8LpDLlOyntfV8WWLvpFllagW9Q2uyhg4965FpYeFLU5D-YdrZbvddg44U2zLTccn5PM,45
84,"Zivkovic, B Krose",An EM-like algorithm for color-histogram-based object tracking,359,2004,https://ieeexplore.ieee.org/abstract/document/1315113/?casa_token=ncjX8dlJ8wIAAAAA:V3iM7NRWKoSw_Sg2QbEVS5YIowhFdSVk28NG2Xsj0iyh-6Dm03BMfENJW1dUlcgJXSoinQDJyrw,20
60,"Comaniciu, V Ramesh",Mean shift and optimal prediction for efficient object tracking,357,2000,https://ieeexplore.ieee.org/abstract/document/899297/?casa_token=bES46Xrk-LIAAAAA:rGqTFQYTRiKFjGW-uFp0tv6qbslkL_1ZUMGBI6iu0fX45-YOukoTXgr74EQY_D5OxXj9hGy8bZY,16
93," Weng, CM Kuo, SK Tu",Video object tracking using adaptive Kalman filter,349,2006,https://www.sciencedirect.com/science/article/pii/S1047320306000113?casa_token=ib73jqFCXyMAAAAA:-pdqtefOdfZ3unVhsJgxFhLBgajegY0AFt0kmRSxchtP4HBJRRIxDhKlcgb39gwzEmR_ZKk4-MQ,22
22,"Nummiaro, E Kolle",Object tracking with an adaptive color-based particle filter,343,2002,https://link.springer.com/chapter/10.1007/3-540-45783-6_43,17
231,"A Perera, C Srinivas, A Hoogs…",Multi-object tracking through simultaneous long occlusions and split-merge conditions,340,2006,https://ieeexplore.ieee.org/abstract/document/1640818/?casa_token=M7koI9XiSRMAAAAA:2cC3usQI1QeD7xfQi1xHMytdKL1WxstrLkwH0SSjcnlLfOwljEq8CrgbY7vb1lDykC9kj3s0oQw,21
141," Lin, WC Peng, YC Tseng",Efficient in-network moving object tracking in wireless sensor networks,328,2006,https://ieeexplore.ieee.org/abstract/document/1644749/?casa_token=iY9DF4oZxmwAAAAA:n0WBFAo6fB4QrwX9xyV-2dtS4Xt76PQhB5bskY8LGBRE3_XN6Ccvr68pistRNiBXPJIzD4LRn5k,20
3,"Challa, MR Morelande, D Mušicki, RJ Evans",Fundamentals of object tracking,319,2011,https://books.google.com/books?hl=en&lr=&id=DOKJGnNh9HgC&oi=fnd&pg=PR5&dq=object+tracking&ots=6Jqa6M-hX6&sig=KumkrBX1gqsENU_lM0dtfD63DqQ,29
90,"Zhang, C Xu, MH Yang",Multi-task correlation particle filter for robust object tracking,314,2017,http://openaccess.thecvf.com/content_cvpr_2017/html/Zhang_Multi-Task_Correlation_Particle_CVPR_2017_paper.html,63
20,"Zhong, AK Jain…",Object tracking using deformable templates,306,2000,https://ieeexplore.ieee.org/abstract/document/857008/?casa_token=04MajzdHhpAAAAAA:Rwd2nloSrWNgZCS-i1lZf5eyXpXqHpt-04yMfGo5JVR69CQl13z24fDTTXJLHyWycydU7Gn6qd8,14
32,"Grabner, J Matas, L Van Gool…",Tracking the invisible: Learning where the object might be,295,2010,https://ieeexplore.ieee.org/abstract/document/5539819/?casa_token=v-lsrPULFbgAAAAA:sLwSbQApB4m2x-u4WGM94OEds57mq4CkADk9UAKKMqBreHPW3f1mJKLN0UcmTQp3xr90UDK3Vdg,25
21,"Kristan, A Leonardis, J Matas…",The sixth visual object tracking vot2018 challenge results,293,2018,http://openaccess.thecvf.com/content_eccv_2018_workshops/w1/html/Kristan_The_sixth_Visual_Object_Tracking_VOT2018_challenge_results_ECCVW_2018_paper.html,73
28,"He, C Luo, X Tian, W Zeng",A twofold siamese network for real-time object tracking,293,2018,http://openaccess.thecvf.com/content_cvpr_2018/html/He_A_Twofold_Siamese_CVPR_2018_paper.html,73
99," Burt, JR Bergen, R Hingorani…",Object tracking with a moving camera,291,1989,https://www.computer.org/csdl/proceedings-article/wvm/1989/00047088/12OmNzTH0Vr,9
193,"Xing, H Ai, S Lao",Multi-object tracking through occlusions by local tracklets filtering and global tracklets association with detection responses,288,2009,https://ieeexplore.ieee.org/abstract/document/5206745/?casa_token=3RFnViV7NNMAAAAA:pQxRrbqTHgDI7qBS1t850HPXGORF681DSE-QJp-o0M7fOtcQFEX0K2u3AyCwxI6yNRq9ro-2Mlw,22
264,"Oksama, J Hyönä",Is multiple object tracking carried out automatically by an early vision mechanism independent of higher‐order cognition? An individual difference approach,284,2004,https://www.tandfonline.com/doi/abs/10.1080/13506280344000473?casa_token=wlTvCGGLEP0AAAAA:jCx8ys0zsdpzdYhH7LgUyE3pjC26D96q5D3sXIlVGkprx7sk2hZeWCGyKZmIsIk3p8TDL8ilJjLzgKc,16
200,"Chaumette, P Rives, B Espiau","Positioning of a robot with respect to an object, tracking it and estimating its velocity by visual servoing.",276,1991,https://www.academia.edu/download/42221815/Positioning_of_a_robot_with_respect_to_a20160206-1439-120avz6.pdf,9
137,"Ning, L Zhang, D Zhang, C Wu",Robust object tracking using joint color-texture histogram,272,2009,https://www.worldscientific.com/doi/abs/10.1142/S0218001409007624,21
138,Yilmaz,Object tracking by asymmetric kernel mean shift with automatic scale and orientation selection,269,2007,https://ieeexplore.ieee.org/abstract/document/4270012/?casa_token=Ku3xHAlVyv8AAAAA:q9sMaO00A8nvcv1r5i11r1z5InaNpJ4Ctdxv64MuApBg24EphUFRhNF9-_S7EzU0SO09ZYqMcRw,18
40,Pylyshyn,Some puzzling findings in multiple object tracking: I. Tracking without keeping track of object identities,265,2004,https://www.tandfonline.com/doi/abs/10.1080/13506280344000518?casa_token=48l6-SdKVo4AAAAA:53Mk_4N22xRxXxfGW2fBqnm1rbaEPTvi5lSd7J8vftNViDaLdiptpqIAZFBFZmkR6YM7g8oKr0PJi9Y,15
112," Nguyen, AWM Smeulders",Fast occluded object tracking by a robust appearance filter,259,2004,https://ieeexplore.ieee.org/abstract/document/1307017/?casa_token=VXzXy908gZgAAAAA:fgtbX6WR3o63-Z07G9-jqzUJXspetuGUROWFo4ToHappxxwJilRT06JkRCNG9DrzVIJVE71KJSg,14
127," Sears, ZW Pylyshyn",Multiple object tracking and attentional processing.,258,2000,https://psycnet.apa.org/doiLanding?doi=10.1037/h0087326,12
19,"Fan, L Lin, F Yang, P Chu, G Deng…",Lasot: A high-quality benchmark for large-scale single object tracking,252,2019,http://openaccess.thecvf.com/content_CVPR_2019/html/Fan_LaSOT_A_High-Quality_Benchmark_for_Large-Scale_Single_Object_Tracking_CVPR_2019_paper.html,84
175,"Bashir, F Porikli",Performance evaluation of object detection and tracking systems,235,2006,https://www.researchgate.net/profile/James_Ferryman/publication/277284667_Computer_Vision_and_Pattern_RecognitionCVPR'06_In_cooperation_with_IEEE_Computer_SocietyEdited_by/links/562e00b608ae22b17034ce19/Computer-Vision-and-Pattern-RecognitionCVPR06-In-cooperation-with-IEEE-Computer-SocietyEdited-by.pdf#page=15,15
107,"Milan, K Schindler, S Roth",Detection-and trajectory-level exclusion in multiple object tracking,231,2013,http://openaccess.thecvf.com/content_cvpr_2013/html/Milan_Detection-_and_Trajectory-Level_2013_CVPR_paper.html,26
171,"Ning, J Yang, S Jiang, L Zhang…",Object tracking via dual linear structured SVM and explicit feature map,230,0,https://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Ning_Object_Tracking_via_CVPR_2016_paper.html,0
109," Tsai, CP Chu, TS Chen",Mobile object tracking in wireless sensor networks,229,2007,https://www.sciencedirect.com/science/article/pii/S014036640700093X?casa_token=eSjpMeUErR8AAAAA:3NmNHEPLTkZ91RnG5EArl7_wGk4TAO8-3nEhIa3OQDAxz0Gd5odaNuy-N8bzdAnBVg5ZZKYm7Y4,15
54,"Wang, D Suter, K Schindler…",Adaptive object tracking based on an effective appearance filter,229,2007,https://ieeexplore.ieee.org/abstract/document/4288167/?casa_token=hTlqqidKIkYAAAAA:s-m9m8cIngkXeDYBcaU6RCy-c-sgTqEN0NzvvnfwooCf8FU3o7ZWof1EPg5K6y9-7JMEftUp3Ls,15
129,"Wang, Y Yagi",Integrating color and shape-texture features for adaptive real-time object tracking,225,2008,https://ieeexplore.ieee.org/abstract/document/4401720/?casa_token=1scP0VM7ZgIAAAAA:4qxMM6XXajE2Mlg7xBSdVSRqeJGgM2E9kVe7_VqeT-M2Dchcmu342PWaR2W3nqBv0WLgnQbVoRg,16
74,"Dong, J Shen",Triplet loss in siamese network for object tracking,219,2018,http://openaccess.thecvf.com/content_ECCV_2018/html/Xingping_Dong_Triplet_Loss_with_ECCV_2018_paper.html,55
39,"Granstrom, M Baum, S Reuter","Extended object tracking: Introduction, overview and applications",216,2016,https://arxiv.org/abs/1604.00970,36
49,"Serby, EK Meier, L Van Gool",Probabilistic object tracking using multiple features,215,2004,https://ieeexplore.ieee.org/abstract/document/1334091/?casa_token=IHZLVPhQ9PYAAAAA:8gYTbjeIcZe03Xb22w_EGFsIuUcICcmv2rB0VbfFS8nM1h14MDGcfQh4RcGR4Prtwy0ZaUUq-h0,12
33,"Zhang, L van der Maaten",Structure preserving object tracking,211,0,https://www.cv-foundation.org/openaccess/content_cvpr_2013/html/Zhang_Structure_Preserving_Object_2013_CVPR_paper.html,0
204,"Yu, W Li, Q Li, Y Liu, X Shi, J Yan",Poi: Multiple object tracking with high performance detection and appearance feature,207,2016,https://link.springer.com/chapter/10.1007/978-3-319-48881-3_3,34
208," Franconeri, SV Jonathan…","Tracking multiple objects is limited only by object spacing, not by speed, time, or capacity",206,2010,https://journals.sagepub.com/doi/abs/10.1177/0956797610373935?casa_token=yOTiKeX-VxEAAAAA:4TfPqmon-_2ArcBtUKcvBMVTBvWop367V6qcKbMx9wiSiVpPA4po7FaIs0voN8s7fJCg-FSjkefJmcQ,17
301," Joshi, DG Thakore",A survey on moving object detection and tracking in video surveillance system,205,2012,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.645.7492&rep=rep1&type=pdf,20
152,"Ning, Z Zhang, C Huang, X Ren…",Spatially supervised recurrent convolutional neural networks for visual object tracking,203,2017,https://ieeexplore.ieee.org/abstract/document/8050867/?casa_token=zTOcMatR6fAAAAAA:wOZGGCxAtlHZX2p75qzmD5RPvkiuN_UYRbQnwsMQGpZi3hrqKntzLXcBF7BXiHgqp3lbD1ht2Bg,41
299,"Zhang, L Zhang, MH Yang",Real-time object tracking via online discriminative feature selection,202,2013,https://ieeexplore.ieee.org/abstract/document/6576884/?casa_token=dvIb32dc0FIAAAAA:Fz0AgZXDmzYOrwrRBl49jzD8pfjwCgnbf41cVDFR9-xWiXTkFZIY9Omclq22GZlEHtA0WCzZu6g,22
148," Trick, F Jasper",Multiple-object tracking in children: The “Catch the Spies” task,202,2005,https://www.sciencedirect.com/science/article/pii/S0885201405000249?casa_token=lmOzrtamajcAAAAA:sigjPTSDS2CaIiyCC80vAf333t4bCg45P_uSigu4C3imm8ORKhxWu8B-IY1Lp69zaQUtF-Y7jds,12
321," Morris, JM Rehg",Singularity analysis for articulated object tracking,202,1998,https://ieeexplore.ieee.org/abstract/document/698622/?casa_token=2r-U9MEmv7kAAAAA:IK8npiynGJqec-1xD-QGBc-xGqwwUw_E6ynS9PlZ7Z_EaeSX4R__0DIhUYIA5VdXZIY88wdXheQ,8
47,"Smith, D Gatic",Evaluating multi-object tracking,199,2005,https://ieeexplore.ieee.org/abstract/document/1565334/?casa_token=dM7Ot1UjackAAAAA:weOeZFydfgohcQp0rpyWjmHCaqPzGjVwhXEb2vcXUz8tMvJsR8e1aMwbook1TMkl1A-wb3nw0AI,12
201,"He, S Yi, YM Cheung, X You…",Robust object tracking via key patch sparse representation,197,2016,https://ieeexplore.ieee.org/abstract/document/7432008/?casa_token=w2S0nLwXWn4AAAAA:IO2EpRPB4-8Sg--igXylg7rYjbHekZklvCRdyP8at1iQBPt9Gub88l8ykT-tb5aqQJ_Lfl-1540,33
172,"Huang, X Zhao, K Huang",Got-10k: A large high-diversity benchmark for generic object tracking in the wild,194,2019,https://ieeexplore.ieee.org/abstract/document/8922619/?casa_token=hE5u8BRRDUoAAAAA:dClGjXjPsonG4C8Eq3_47_fkMoTHornVeCVCizDsit4VExP1lbgF31_t29HfgSOmi3ShNImo2cI,65
225,"Xu, J Winter, WC Lee",Dual prediction-based reporting for object tracking sensor networks,191,2004,https://ieeexplore.ieee.org/abstract/document/1331722/,11
145," Yoon, MH Yang, J Lim…",Bayesian multi-object tracking using motion context from multiple objects,191,2015,https://ieeexplore.ieee.org/abstract/document/7045866/?casa_token=niq1LwAn53MAAAAA:X-hKsNS9aCuHWIugBp_s51mpgWY7eQkKfQQrlFzPyLwoXAUmeo94XOcRGkGMcMkm2BP3q02UN2E,27
118,"Krainin, P Henry, X Ren…",Manipulator and object tracking for in-hand 3d object modeling,191,2011,https://journals.sagepub.com/doi/abs/10.1177/0278364911403178?casa_token=m-ZaLy99jfUAAAAA:rr7p6ro-UL_gZtjDpJBwkpDvPt2De7ouaE94UACt1die_9JLabegDGCPOnAHuMZ76Wvurs09GxiMYKE,17
191,"Nebehay, R Pflugfelder",Clustering of static-adaptive correspondences for deformable object tracking,191,0,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Nebehay_Clustering_of_Static-Adaptive_2015_CVPR_paper.html,0
48,"Nebehay, R Pflugfelder",Consensus-based matching and tracking of keypoints for object tracking,188,2014,https://ieeexplore.ieee.org/abstract/document/6836013/,24
159,"Giebel, DM Gavrila, C Schnörr",A bayesian framework for multi-cue 3d object tracking,185,2004,https://link.springer.com/chapter/10.1007/978-3-540-24673-2_20,10
227, Kim,Real time object tracking based on dynamic feature grouping with background subtraction,183,2008,https://ieeexplore.ieee.org/abstract/document/4587551/?casa_token=-mPsM7ICRDwAAAAA:9OO3UUmZwklVFb09b6SW1RSN9jnycV8yrxXbnaA8flgxr03-59qukDG2YzJTMG1O9igvpv223C0,13
75,"Li, K Wang, W Wang, Y Li",A multiple object tracking method using Kalman filter,181,2010,https://ieeexplore.ieee.org/abstract/document/5512258/?casa_token=pcOFm7ZFKBYAAAAA:oyZh5PaEGJiqp7OmYGgKCkoWklYZNnvKtT0ulgEDn0y0ICEkewR9StXUWKJCbT0jwC2It7XY9CQ,15
15,"Yin, D Makris, SA Velastin",Performance evaluation of object tracking algorithms,180,2007,https://www.researchgate.net/profile/Fallah_Najjar/post/How-to-measure-the-accuracy-of-object-tracking-methods/attachment/5c58a6273843b0544e640eb1/AS%3A722687668273153%401549313575671/download/Performance_evaluation_of_object_tracking_algorith.pdf,12
116, Scholl,What have we learned about attention from multiple object tracking (and vice versa),179,2009,https://books.google.com/books?hl=en&lr=&id=zZ3HGOug3k8C&oi=fnd&pg=PA49&dq=object+tracking&ots=gZJFt83mhl&sig=ZW8qOv3iB3jSCdrceJwKWQ_Mc0Y,14
212,"Hess, A Fern",Discriminatively trained particle filters for complex multi-object tracking,177,2009,https://ieeexplore.ieee.org/abstract/document/5206801/?casa_token=4bkCaIF3CZUAAAAA:Hxantf_UHevou5pUBcd7otU6awD7SKtaXgXqe5axl0DntcfJN8NFn5fH_7NRnfSQiGnEBhqO-to,14
181,"Chu, W Ouyang, H Li, X Wang…",Online multi-object tracking using CNN-based single object tracker with spatial-temporal attention mechanism,176,2017,http://openaccess.thecvf.com/content_iccv_2017/html/Chu_Online_Multi-Object_Tracking_ICCV_2017_paper.html,35
319,"Medeiros, J Park, A Kak",Distributed object tracking using a cluster-based kalman filter in wireless camera networks,174,2008,https://ieeexplore.ieee.org/abstract/document/4629874/?casa_token=-5ly70ZORNsAAAAA:Mup6PJAg_pTReyX4pz_E3zOZuamvUbbQuJ8Geq-umD7VE0M_u8r8TDc9fP_7YHjdjdBoOMMJ9e0,12
160,"Xu, WC Lee",On localized prediction for power efficient object tracking in sensor networks,172,2003,https://ieeexplore.ieee.org/abstract/document/1203591/?casa_token=581iUwzP4DwAAAAA:IcU85I1FF9hmDpVYhZgd93RxHFCiVPL8yV2iFcT_TVyROnhdkqXqJbT4xiEqQIUl5UiB9zAW9Gs,9
285,"Nakadai, K Hidai, H Mizoguchi…",Real-time auditory and visual multiple-object tracking for humanoids,171,2001,https://www.researchgate.net/profile/Hiroshi_Okuno/publication/220815784_Real-Time_Auditory_and_Visual_Multiple-Object_Tracking_for_Humanoids/links/0912f50e3858d15ccd000000.pdf,8
134,"Viani, L Lizzi, P Rocca, M Benedetti…",Object tracking through RSSI measurements in wireless sensor networks,170,2008,https://ieeexplore.ieee.org/abstract/document/4515936/,12
247,"Mihaylova, AY Carmi, F Septier, A Gning…",Overview of Bayesian sequential Monte Carlo methods for group and extended object tracking,169,2014,https://www.sciencedirect.com/science/article/pii/S1051200413002716,21
36,"Muller, A Bibi, S Giancola…",Trackingnet: A large-scale dataset and benchmark for object tracking in the wild,169,2018,http://openaccess.thecvf.com/content_ECCV_2018/html/Matthias_Muller_TrackingNet_A_Large-Scale_ECCV_2018_paper.html,42
189," Fehd, AE Seiffert",Eye movements during multiple object tracking: Where do participants look?,168,2008,https://www.sciencedirect.com/science/article/pii/S0010027707002776?casa_token=XTZOx8ZfCu0AAAAA:BEbOfx8i1NLpjNxXIeUnsxVY05f9AFYNJtvxsga-FfUvkSlVYbJ6T87hZBumLJ8vQj8_1HnSw04,12
106,"Berclaz, F Fleuret, P Fua",Multiple object tracking using flow linear programming,167,2009,https://ieeexplore.ieee.org/abstract/document/5399488/?casa_token=uYgE2dPC2tIAAAAA:xZ0kzdidDuxET_E7szPOBHAhURTXAmLjFJJL9yT356vjIRxWqxkpcsNFNb2dLKgp7amy7DigkIk,13
