Rank,Author,Title,Citations,Year,Source,cit/year
44," Dockstader, AM Tekalp",Multiple camera fusion for multi-object tracking,134,2001,https://ieeexplore.ieee.org/abstract/document/937987/?casa_token=lfV28uI_cPAAAAAA:GaEM6fnASsy88oYIws_hBJhYMiqgHtRMnDW3tZ8wzG05hbPPHec1dsg4uOLsZdDKw1q6_qoY5s0,6
36,"He, X Li, X You, D Tao…",Connected component model for multi-object tracking,127,2016,https://ieeexplore.ieee.org/abstract/document/7471478/?casa_token=VjAMrNwAF_IAAAAA:tJ26KZReEdyftHeYVe0WSUjPa2vUZr5Ef6WHZkaeIs5Sjs4Ktu1OauGJDt0zACmVZuzp8CLWMXc,21
37,"Kim, F Li, JM Rehg",Multi-object tracking with neural gating using bilinear lstm,126,2018,http://openaccess.thecvf.com/content_ECCV_2018/html/Chanho_Kim_Multi-object_Tracking_with_ECCV_2018_paper.html,32
39,"Chari, S Lacost",On pairwise costs for network flow multi-object tracking,126,0,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Chari_On_Pairwise_Costs_2015_CVPR_paper.html,0
42,"Mobus, U Kolbe","Multi-target multi-object tracking, sensor fusion of radar and infrared",125,2004,https://ieeexplore.ieee.org/abstract/document/1336475/,7
25,"Schulter, P Vernaza, W Choi…",Deep network flow for multi-object tracking,115,2017,http://openaccess.thecvf.com/content_cvpr_2017/html/Schulter_Deep_Network_Flow_CVPR_2017_paper.html,23
31,"Possegger, T Mauthner, PM Roth…",Occlusion geodesics for online multi-object tracking,112,0,https://www.cv-foundation.org/openaccess/content_cvpr_2014/html/Possegger_Occlusion_Geodesics_for_2014_CVPR_paper.html,0
75," Chen, HH Lin, TL Liu",Multi-object tracking using dynamical graph matching,109,2001,https://ieeexplore.ieee.org/abstract/document/990962/?casa_token=UdmIKuxkjVgAAAAA:51N7f_U3k6k4SNVeiEuFCqbNhTWdUKH9FCInGGNMNItq632OGsJkG9rLoanFiUCYYMNGwKtQTh4,5
40,"Lee, E Erdenee, S Jin, MY Nam, YG Jung…",Multi-class multi-object tracking using changing point detection,104,2016,https://link.springer.com/chapter/10.1007/978-3-319-48881-3_6,17
57,"Henschel, L Lea",Fusion of head and full-body detectors for multi-object tracking,102,2018,http://openaccess.thecvf.com/content_cvpr_2018_workshops/w29/html/Henschel_Fusion_of_Head_CVPR_2018_paper.html,26
30,"Fang, Y Xiang, X Li…",Recurrent autoregressive networks for online multi-object tracking,100,2018,https://ieeexplore.ieee.org/abstract/document/8354161/?casa_token=1lwXBufWBEIAAAAA:WUHHOSaNoIgaXmjjjc0_ohpLXA-svOn43zhHQg6EQ8HJ2qy7hdhw6TkQG_j9FaWwftOQUR-crgQ,25
33,"Ciaparrone, FL Sánchez, S Tabik, L Troiano…",Deep learning in video multi-object tracking: A survey,97,2020,https://www.sciencedirect.com/science/article/pii/S0925231219315966?casa_token=VRbe3gA9UwcAAAAA:sLj00ElutkhVamXI5F3gvyUFAH9oyS-CBL23cLjkNy3UEGB9hbWwu1akwdEPZMBfFqcxb6QhQR4,48
52,"Kondor, A Howard, T Jebara",Multi-object tracking with representations of the symmetric group,94,2007,http://proceedings.mlr.press/v2/kondor07a.html,6
84,Fago,Improving multi-frame data association with sparse representations for robust near-online multi-object tracking,94,2016,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_47,16
73,"Hofmann, D Wolf, G Rigoll",Hypergraphs for joint multi-view reconstruction and multi-object tracking,85,2013,http://openaccess.thecvf.com/content_cvpr_2013/html/Hofmann_Hypergraphs_for_Joint_2013_CVPR_paper.html,9
48,"Sharma, JA Ansari, JK Murthy…",Beyond pixels: Leveraging geometry and shape cues for online multi-object tracking,81,2018,https://ieeexplore.ieee.org/abstract/document/8461018/?casa_token=32C9vFpG6mUAAAAA:nse2zcoF1UqPiGIaciLuZQRtLOHKG_zq9ERykAxFLZCtgd_fvV8vjKRU1J6oyBwPFiRhKHvQq1I,20
62,"Beyan, A Temizel",Adaptive mean-shift for automated multi object tracking,79,2012,https://digital-library.theiet.org/content/journals/10.1049/iet-cvi.2011.0054,8
91,"Wang, M de La Gorce…","Segmentation, ordering and multi-object tracking using graphical models",78,2009,https://ieeexplore.ieee.org/abstract/document/5459247/?casa_token=b825MzHwIFkAAAAA:YRfmoAtlMZI0kv0cuJvy4oJFDtP7VvsDjKBqoHqLA9c7C5TFY9kQEWXAi02qGhbCGgp7sV5s7bE,6
64," Agbinya, D Rees",Multi-object tracking in video,78,1999,https://www.sciencedirect.com/science/article/pii/S1077201498901747,3
58,"Scheidegger, J Benjaminsson…",Mono-camera 3d multi-object tracking using deep learning detections and pmbm filtering,67,2018,https://ieeexplore.ieee.org/abstract/document/8500454/?casa_token=PwTXeGaGG68AAAAA:iqrXqL4Dk0bqlgMJqNRTR8ysPiBfMwOA5Kk3XV3xmg1__SushOXuj0zUNxa0mWZ9RInDwsZje6E,17
27,"Wang, Y Wang, H Zhang, R Gu…",Exploit the connectivity: Multi-object tracking with trackletnet,66,2019,https://dl.acm.org/doi/abs/10.1145/3343031.3350853,22
46,"Prokaj, M Duchaineau…",Inferring tracklets for multi-object tracking,65,2011,https://ieeexplore.ieee.org/abstract/document/5981753/?casa_token=6SLsAemp65AAAAAA:3L-PpaDBhKPaBbD98FRs-kZ1FFSt5FQXXFX9RowWMQvn47_2f9nvStZHzdpzA1qRSq9D3lfLzYI,6
28,"Chen, H Ai, C Shang, Z Zhuang…",Online multi-object tracking with convolutional neural networks,65,2017,https://ieeexplore.ieee.org/abstract/document/8296360/?casa_token=IL4rju0gprEAAAAA:ysvIIgKOGRKH6ZWnmUxs-1-U4b5MNKYhGSmRNb0lFyZDR_mt1C-23UUZ1AZkJVFQqZFWeeXLYS0,13
93," Ye, CZ Dong, T Liu",Image-based structural dynamic displacement measurement using different multi-object tracking algorithms,64,2016,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE10232030,11
35,"Feng, Z Hu, W Wu, J Yan, W Ouyang",Multi-object tracking with multiple cues and switcher-aware classification,64,2019,https://arxiv.org/abs/1901.06129,21
10,"Wang, L Zheng, Y Liu, S Wang",Towards real-time multi-object tracking,63,2019,https://link.springer.com/content/pdf/10.1007/978-3-030-58621-8_7.pdf,21
59,"Maksai, X Wang, F Fleuret…",Non-markovian globally consistent multi-object tracking,61,2017,http://openaccess.thecvf.com/content_iccv_2017/html/Maksai_Non-Markovian_Globally_Consistent_ICCV_2017_paper.html,12
19,"Bochinski, T Senst, T Sikora",Extending IOU based multi-object tracking by visual information,59,2018,https://ieeexplore.ieee.org/abstract/document/8639144/?casa_token=GpMDJzi_FzEAAAAA:izOc-W8x1ll3_4b4vUe5mq9oMUzUk-hFKsJmnjmSxCK51uL6X9cXMgr-nhIjl5KZUTtXOweTPj0,15
77,"Yoon, A Boragule, Y Song, K Yoon…",Online multi-object tracking with historical appearance matching and scene adaptive detection filtering,58,2018,https://ieeexplore.ieee.org/abstract/document/8639078/?casa_token=hOxHLYjOcaUAAAAA:uIJaQliwCtZPcg5m6LCccYJXBQGtdAoQZgm9tXoPmRxAJ-z3Z-LgOOV4thpDOI3q3yfi0BuZ0fo,14
68,Reuter,Multi-object tracking using random finite sets,55,0,https://oparu.uni-ulm.de/xmlui/handle/123456789/3231,0
110,"Rangesh, MM Trivedi",No blind spots: Full-surround multi-object tracking for autonomous vehicles using cameras and lidars,54,2019,https://ieeexplore.ieee.org/abstract/document/8818343/?casa_token=MFt2O_W-ltUAAAAA:BRNNybEeY1s2bMpeUaga1A9AVupKVBc6Jg8fUIM18suqZh1awymsP-AOK-4F4Uq6G8Boi0tz7bw,18
51,"Xu, Y Cao, Z Zhang, H Hu",Spatial-temporal relation networks for multi-object tracking,53,2019,http://openaccess.thecvf.com/content_ICCV_2019/html/Xu_Spatial-Temporal_Relation_Networks_for_Multi-Object_Tracking_ICCV_2019_paper.html,18
87," Kim, M Jeon",Data fusion of radar and image measurements for multi-object tracking via Kalman filtering,52,2014,https://www.sciencedirect.com/science/article/pii/S0020025514003715?casa_token=I9p21wV_52MAAAAA:XZaWYmH84uZkmU06bIfKEWPVCvhNuy4kbBeFW5avU500Kj4jYdnLCUinQPRVd3C5loo7N31ItIE,6
15,"Weng, K Kitani",A baseline for 3d multi-object tracking,50,2019,https://arxiv.org/abs/1907.03961,17
104,"Hofmann, M Haag, G Rigoll",Unified hierarchical multi-object tracking using global data association,50,2013,https://ieeexplore.ieee.org/abstract/document/6523791/?casa_token=oF8VosqEoUMAAAAA:KYOwqnD5hxxNKf3ocpuv9MNNvQ3rihw-Lji5FgDf9pobIQJmS-G2sNWHOGEJTdi89Hqk4kZ0YXQ,6
109," Fuemmeler, VV Veeravalli",Energy efficient multi-object tracking in sensor networks,48,2010,https://ieeexplore.ieee.org/abstract/document/5439914/?casa_token=hCNJs3sA9fkAAAAA:tbxvxTQbhifMfJ9Nhkq362ooJAo9AL7OR2s3bHlwEdN9SScPGZCSKpnB7m9_4-XQFCX6yOUItM0,4
90,"Wen, Z Lei, S Lyu, SZ Li…",Exploiting hierarchical dense structures on hypergraphs for multi-object tracking,47,2015,https://ieeexplore.ieee.org/abstract/document/7360186/?casa_token=mFUiEpZuuIwAAAAA:ROiQb9Qu0GRHL9zf7WU09jSmHGLVT9rLb9wdzeVQGNFk4dTIQqtTmTQAyeGWfs2ydbYdLvs7NnE,7
16,"Zhang, H Zhou, S Sun, Z Wang…",Robust multi-modality multi-object tracking,45,2019,http://openaccess.thecvf.com/content_ICCV_2019/html/Zhang_Robust_Multi-Modality_Multi-Object_Tracking_ICCV_2019_paper.html,15
60,"Chu, H Fan, CC Tan, H Ling",Online multi-object tracking with instance-aware tracker and dynamic model refreshment,44,2019,https://ieeexplore.ieee.org/abstract/document/8658390/?casa_token=bHjNIrP8HmUAAAAA:SaXNKj1AgOZlcketwgYRo_j_SXvdYLMsqscSx-807_QI14RKUQn094BVJEYPGjk9cmJSedJH7SY,15
74," Yu, D Meng, W Zuo…",The solution path algorithm for identity-aware multi-object tracking,43,2016,http://openaccess.thecvf.com/content_cvpr_2016/html/Yu_The_Solution_Path_CVPR_2016_paper.html,7
95,"Chen, A Fern, S Todorovic",Multi-object tracking via constrained sequential labeling,43,0,https://www.cv-foundation.org/openaccess/content_cvpr_2014/html/Chen_Multi-Object_Tracking_via_2014_CVPR_paper.html,0
81,"Zhou, W Ouyang, J Cheng…",Deep continuous conditional random fields with asymmetric inter-object constraints for online multi-object tracking,42,2018,https://ieeexplore.ieee.org/abstract/document/8335792/?casa_token=0CMXOhwsvPgAAAAA:HXfvYVXMe8jn_Im5O6r0govEvvwatCFEcaYNMwZAXgbwREKkeYSy6pxYxokRNyfWVDyVX_0NrcI,10
53,"Wen, D Du, Z Cai, Z Lei, M Chang, H Qi…",DETRAC: A new benchmark and protocol for multi-object tracking,39,2015,https://www.researchgate.net/profile/Longyin_Wen/publication/283986610_UA-DETRAC_A_new_benchmark_and_protocol_for_multi-object_detection_and_tracking/links/564ccf3b08ae1ef9296a441c/UA-DETRAC-A-new-benchmark-and-protocol-for-multi-object-detection-and-tracking.pdf,6
70,"Tian, M Lauer, L Chen",Online multi-object tracking using joint domain information in traffic scenarios,37,2019,https://ieeexplore.ieee.org/abstract/document/8621602/?casa_token=Z16JTU3wxtMAAAAA:uF3R17b1I2PfGKDa8wRvgL7hG7ovy4xPu5Lzj0pxquDe25ui9889UdzBjGWLLPHxQoNqiW1V-_Y,12
97,"Houssineau, DE Clark, S Ivekovic…","A unified approach for multi-object triangulation, tracking and camera calibration",36,2016,https://ieeexplore.ieee.org/abstract/document/7398163/,6
17,"Beard, BT Vo, BN Vo",A solution for large-scale multi-object tracking,36,2020,https://ieeexplore.ieee.org/abstract/document/9063553/,18
98," Vo, BT Vo, M Beard",Multi-sensor multi-object tracking with the generalized labeled multi-Bernoulli filter,35,2019,https://ieeexplore.ieee.org/abstract/document/8861414/,12
50,"Ren, J Lu, Z Wang, Q Tian…",Collaborative deep reinforcement learning for multi-object tracking,35,2018,http://openaccess.thecvf.com/content_ECCV_2018/html/Liangliang_Ren_Collaborative_Deep_Reinforcement_ECCV_2018_paper.html,9
32,"Lan, X Wang, S Zhang, D Tao, W Gao…",Interacting tracklets for multi-object tracking,33,2018,https://ieeexplore.ieee.org/abstract/document/8370670/?casa_token=Hl_Qp_pJBZYAAAAA:au3weaJtaiWkfPPTJEnxhuZX715qrUb2p-Cue2f8apK_dGlVLYwP4pDEPTWd-lAyUva_ixCZUOQ,8
71,"Ošep, W Mehner, P Voigtlaender…","Track, then decide: Category-agnostic vision-based multi-object tracking",33,2018,https://ieeexplore.ieee.org/abstract/document/8460975/?casa_token=bDNz1y2XLz0AAAAA:KIR1eGnIzahDQGmgf0wwjvnXWq3gAbGTzrEFVWTyBVCjyg3bEhqlN7uOjIHo3_n4x69sFMmH6S8,8
29,"Baser, V Balasubramanian…",Fantrack: 3d multi-object tracking with feature association network,33,2019,https://ieeexplore.ieee.org/abstract/document/8813779/?casa_token=IKcJlnuP2s4AAAAA:EajNf4TbJxcn8KlPDjBbzHsoiBvJ5xn_c9MVyxlO0SDkqVIVgEq55VD8fUnrfxkCUZfywPqU8eg,11
108,"Li, G Battistelli, L Chisci, W Yi…",Computationally Eff i cient Multi-Agent Multi-Object Tracking With Labeled Random Finite Sets,33,2018,https://ieeexplore.ieee.org/abstract/document/8531656/?casa_token=56-PjFJJy5MAAAAA:je3948Ja2ZYF4rSdV7cKftVpYTF5BxEmW6EKJKNdHYUSIdJ4CkCykHCx-L9ba03KJtr8d0_kaag,8
63,"Dendorfer, H Rezatofighi, A Milan, J Shi…",Mot20: A benchmark for multi object tracking in crowded scenes,32,2020,https://arxiv.org/abs/2003.09003,16
69,"Yoon, DY Kim, YC Yoon, M Jeon",Data association for multi-object tracking via deep neural networks,32,2019,https://www.mdpi.com/1424-8220/19/3/559,11
80,"Yang, Y Wu, Y Jia",A hybrid data association framework for robust online multi-object tracking,31,2017,https://ieeexplore.ieee.org/abstract/document/8016620/?casa_token=fEB0CJn9TyUAAAAA:55fK2DN5ToRgb3MBnxYc0mGDxx6TCzMmub6UE3bl-Z88omusm963lp_F1QtE1wXauMpY-mKIZOE,6
92," Lee, MY Kim, SH Bae",Learning discriminative appearance models for online multi-object tracking with appearance discriminability measures,28,2018,https://ieeexplore.ieee.org/abstract/document/8528315/,7
18,"Zhan, C Wang, X Wang, W Zeng, W Liu",A simple baseline for multi-object tracking,25,2020,https://arxiv.org/abs/2004.01888,12
101,"Yang, C Cappelle, Y Ruichek…",Multi-object tracking with discriminant correlation filter based deep learning tracker,24,2019,https://content.iospress.com/articles/integrated-computer-aided-engineering/ica180596,8
85,"Zhao, H Fu, L Xiao, T Wu, B Dai",Multi-object tracking with correlation filter for autonomous vehicle,23,2018,https://www.mdpi.com/1424-8220/18/7/2004,6
86,"Shen, L Huang, C Huang, W Xu",Tracklet association tracker: An end-to-end learning-based association approach for multi-object tracking,22,2018,https://arxiv.org/abs/1808.01562,6
76,"Wen, D Du, S Li, X Bian, S Lyu",Learning non-uniform hypergraph for multi-object tracking,20,2019,https://ojs.aaai.org/index.php/AAAI/article/view/4928,7
107,"Tian, F Yuan, GS Xia",Multi-object tracking with inter-feedback between detection and tracking,20,2016,https://www.sciencedirect.com/science/article/pii/S0925231215010061?casa_token=TpkDpNVB_PMAAAAA:NPxChBMa03YHf1iyo4EyXKob52bQ-4hRsFz3A7CL6Y4dROxxeR7d60Tb6ICVfSN86g66Km41b58,3
49,"Chen, H Ai, R Chen, Z Zhuang",Aggregate tracklet appearance features for multi-object tracking,19,2019,https://ieeexplore.ieee.org/abstract/document/8831410/?casa_token=1AUQPVlhO4MAAAAA:gYySoddzWJdfMWmNURaLDlG8rjcRFuKTB9vvCt0IP89Mk0os4q5-yIb8Qw7js7VaFoHyn0EZfto,6
65,"Weng, J Wang, D Held, K Kitani",3d multi-object tracking: A baseline and new evaluation metrics,19,2020,https://ras.papercept.net/proceedings/IROS20/1857.pdf,10
83, A,Robust multi-object tracking with semantic color correlation,18,2017,https://ieeexplore.ieee.org/abstract/document/8078507/?casa_token=HyD-woMd76MAAAAA:m-Gd9qmLB7EeTtaGjKBpwIio3WJ_q0ilLKhV5L8mj-jLIkqZqzcBmA7Mc9zCRXXoQQt9PGZ6-zA,4
103," Yoon, CR Lee, MH Yang, KJ Yoon",Structural constraint data association for online multi-object tracking,18,2019,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11263-018-1087-1&casa_token=2AVL6tfnHdUAAAAA:3PwlIhGQ7Yu6SPbCex10jDidNci0MYk25CGFt2AHy6qCyRNhflrBT3C_2ACDmkwOfx2glvZNwAvFqquL-Yg,6
61,"Chiu, A Prioletti, J Li, J Bohg",Probabilistic 3d multi-object tracking for autonomous driving,17,2020,https://arxiv.org/abs/2001.05673,8
72,"Weng, Y Wang, Y Man…",Gnn3dmot: Graph neural network for 3d multi-object tracking with 2d-3d multi-feature learning,16,2020,http://openaccess.thecvf.com/content_CVPR_2020/html/Weng_GNN3DMOT_Graph_Neural_Network_for_3D_Multi-Object_Tracking_With_2D-3D_CVPR_2020_paper.html,8
47,"Porzi, M Hofinger, I Ruiz, J Serrat…",Learning multi-object tracking and segmentation from automatic annotations,14,2020,http://openaccess.thecvf.com/content_CVPR_2020/html/Porzi_Learning_Multi-Object_Tracking_and_Segmentation_From_Automatic_Annotations_CVPR_2020_paper.html,7
106,"Liu, O Camps, M Sznaier",Multi-camera multi-object tracking,14,2017,https://arxiv.org/abs/1709.07065,3
102,Lian,Fuzzy logic approach to visual multi-object tracking,13,2018,https://www.sciencedirect.com/science/article/pii/S0925231217318192?casa_token=yMxI6Jl5w-EAAAAA:1g8307PZEpbXnYMohPhYdxQFgDdkqgnDOLsJezL7yDzPmYYGNhrORM8XuWje0lTmhMNrSyhi3_Y,3
88,"Kieritz, W Hubner, M Arens",Joint detection and online multi-object tracking,12,2018,http://openaccess.thecvf.com/content_cvpr_2018_workshops/w29/html/Kieritz_Joint_Detection_and_CVPR_2018_paper.html,3
105,"Liu, B Liu, Y Wu, W Li, N Yu",Real-time online multi-object tracking in compressed domain,11,2019,https://ieeexplore.ieee.org/abstract/document/8734056/,4
79," Song, K Yoon, YC Yoon, KC Yow, M Jeon",Online multi-object tracking with gmphd filter and occlusion group management,10,2019,https://ieeexplore.ieee.org/abstract/document/8897600/,3
43,"Karthik, A Prabhu, V Gandhi",Simple unsupervised multi-object tracking,10,2020,https://arxiv.org/abs/2006.02609,5
94,"Shuai, AG Berneshawi, D Modolo, J Tighe",Multi-object tracking with Siamese track-RCNN,8,2020,https://arxiv.org/abs/2004.07786,4
82,"Wang, X Weng, K Kitani",Joint Detection and Multi-Object Tracking with Graph Neural Networks,7,2020,https://arxiv.org/abs/2006.13164,4
66,"Xu, W Zhang, X Tan, W Yang, H Huang…",Segment as points for efficient online multi-object tracking and segmentation,7,2020,https://link.springer.com/chapter/10.1007/978-3-030-58452-8_16,4
99,"Wang, K Kitani, X Weng",Joint Object Detection and Multi-Object Tracking with Graph Neural Networks,4,2020,https://www.researchgate.net/profile/Xinshuo_Weng/publication/345151740_Joint_Object_Detection_and_Multi-Object_Tracking_with_Graph_Neural_Networks/links/5f9f6d99299bf1b53e59b3ff/Joint-Object-Detection-and-Multi-Object-Tracking-with-Graph-Neural-Networks.pdf,2
56,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=40&q=multi+object+tracking&hl=en&as_sdt=0,5",0
100,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=80&q=multi+object+tracking&hl=en&as_sdt=0,5",0
89,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=70&q=multi+object+tracking&hl=en&as_sdt=0,5",0
78,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=60&q=multi+object+tracking&hl=en&as_sdt=0,5",0
67,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=50&q=multi+object+tracking&hl=en&as_sdt=0,5",0
45,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=30&q=multi+object+tracking&hl=en&as_sdt=0,5",0
34,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=20&q=multi+object+tracking&hl=en&as_sdt=0,5",0
23,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=10&q=multi+object+tracking&hl=en&as_sdt=0,5",0
12,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=0&q=multi+object+tracking&hl=en&as_sdt=0,5",0
5,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=0&q=multi+object+tracking&hl=en&as_sdt=0,5",0
111,Author not found,Could not catch title,0,0,"Look manually at: https://scholar.google.com/scholar?start=90&q=multi+object+tracking&hl=en&as_sdt=0,5",0
